variant,sharpe_exp032b,sharpe_exp033,delta_sharpe,cohens_d_sharpe,mdd_exp032b,mdd_exp033,delta_mdd
sym,1.870878108328234,1.6581194204733454,-0.2127586878548886,-0.8034310352418287,3.2686645075752994,3.4707918833414375,0.20212737576613815
asym,1.6812642891792304,1.478435252395118,-0.20282903678411235,-2.010914360637645,2.276167142694485,2.282823299228135,0.006656156533650037
dsr,1.8091730534226247,1.5505025791027012,-0.2586704743199235,-1.1020113362769046,4.325378372786011,4.877443270579077,0.5520648977930662
pt,1.6665404385304892,1.4593130391223759,-0.2072273994081133,-2.1816096870480135,2.309672370782932,2.3433209811705633,0.03364861038763145
