budget_fraction,profit_target,trend_1w,regime
1.0,0.0,2.1926655769348145,bull
1.0,0.0,2.2539989948272705,bull
1.0,0.0,2.825805425643921,bull
1.0,0.0,2.788928508758545,bull
1.0,0.0,2.8955368995666504,bull
1.0,0.0,2.7468512058258057,bull
1.0,0.0,2.4092774391174316,bull
1.0,0.0,2.476257801055908,bull
1.0,0.0,2.6995246410369873,bull
1.0,0.0,2.345633029937744,bull
1.0,0.0,1.6581939458847046,bull
1.0,0.0,0.9959121346473694,bull
1.0,0.0,0.945400059223175,bull
1.0,0.0,0.9401289820671082,bull
1.0,0.0,0.9900955557823181,bull
1.0,0.0,1.0939711332321167,bull
1.0,0.0,1.116245985031128,bull
1.0,0.0,1.228576898574829,bull
1.0,0.0,1.1804379224777222,bull
1.0,0.0,1.2088743448257446,bull
1.0,0.0,1.2270207405090332,bull
1.0,0.0,1.0753650665283203,bull
1.0,0.0,1.0579109191894531,bull
1.0,0.0,0.35726189613342285,sideways
1.0,0.0,0.41651493310928345,sideways
1.0,0.0,0.40269792079925537,sideways
1.0,0.0,0.7125002145767212,bull
1.0,0.0,1.8183478116989136,bull
1.0,0.0,2.031507968902588,bull
1.0,0.0,1.9117419719696045,bull
1.0,0.0,1.866118311882019,bull
1.0,0.0,3.957455635070801,bull
1.0,0.0,5.0,bull
1.0,0.0,4.807387351989746,bull
1.0,0.0,4.4069719314575195,bull
1.0,0.0,4.262608051300049,bull
1.0,0.0,3.9572577476501465,bull
1.0,0.0,3.2352066040039062,bull
1.0,0.0,3.4651644229888916,bull
1.0,0.0,3.2690038681030273,bull
1.0,0.0,3.2634100914001465,bull
1.0,0.0,3.1982462406158447,bull
1.0,0.0,3.0960378646850586,bull
1.0,0.0,3.0166709423065186,bull
1.0,0.0,3.1878244876861572,bull
1.0,0.0,3.278498888015747,bull
1.0,0.0,2.092661142349243,bull
1.0,0.0,2.2893028259277344,bull
1.0,0.0,2.4084296226501465,bull
1.0,0.0,4.465994358062744,bull
1.0,0.0,4.02107572555542,bull
1.0,0.0,3.982740640640259,bull
1.0,0.0,4.190347194671631,bull
1.0,0.0,3.491107940673828,bull
1.0,0.0,3.5718820095062256,bull
1.0,0.0,3.2943954467773438,bull
1.0,0.0,2.946188449859619,bull
1.0,0.0,3.0194785594940186,bull
1.0,0.0,2.9538543224334717,bull
1.0,0.0,2.956101179122925,bull
1.0,0.0,2.781151294708252,bull
1.0,0.0,2.666407346725464,bull
1.0,0.0,2.773674249649048,bull
1.0,0.0,2.627197742462158,bull
1.0,0.0,2.5763893127441406,bull
1.0,0.0,2.6682534217834473,bull
1.0,0.0,2.8744115829467773,bull
1.0,0.0,2.636730670928955,bull
1.0,0.0,2.486137866973877,bull
1.0,0.0,2.327100992202759,bull
1.0,0.0,2.5632834434509277,bull
1.0,0.0,2.7623841762542725,bull
1.0,0.0,2.5069501399993896,bull
1.0,0.0,2.6516616344451904,bull
1.0,0.0,2.58793568611145,bull
1.0,0.0,2.4725899696350098,bull
1.0,0.0,2.6529741287231445,bull
1.0,0.0,3.021207571029663,bull
1.0,0.0,2.926748037338257,bull
1.0,0.0,2.96042537689209,bull
1.0,0.0,4.053630352020264,bull
1.0,0.0,3.9308767318725586,bull
1.0,0.0,3.762488603591919,bull
1.0,0.0,3.613119602203369,bull
1.0,0.0,3.402275323867798,bull
1.0,0.0,3.2215006351470947,bull
1.0,0.0,3.2260613441467285,bull
1.0,0.0,3.0366082191467285,bull
1.0,0.0,3.0646843910217285,bull
1.0,0.0,2.5060813426971436,bull
1.0,0.0,2.4268925189971924,bull
1.0,0.0,2.5876238346099854,bull
1.0,0.0,2.699061393737793,bull
1.0,0.0,2.650222063064575,bull
1.0,0.0,2.4669666290283203,bull
1.0,0.0,2.364651918411255,bull
1.0,0.0,2.351862907409668,bull
1.0,0.0,2.246945381164551,bull
1.0,0.0,2.192685127258301,bull
1.0,0.0,2.164048194885254,bull
1.0,0.0,2.1969971656799316,bull
1.0,0.0,2.1781578063964844,bull
1.0,0.0,2.209580898284912,bull
1.0,0.0,2.1297833919525146,bull
1.0,0.0,1.9566344022750854,bull
1.0,0.0,1.9219446182250977,bull
1.0,0.0,1.8117166757583618,bull
1.0,0.0,1.8061453104019165,bull
1.0,0.0,1.7697187662124634,bull
1.0,0.0,1.7729620933532715,bull
1.0,0.0,1.713478446006775,bull
1.0,0.0,1.6988344192504883,bull
1.0,0.0,1.5914678573608398,bull
1.0,0.0,1.6778825521469116,bull
1.0,0.0,1.6390057802200317,bull
1.0,0.0,1.6155240535736084,bull
1.0,0.0,1.5749088525772095,bull
1.0,0.0,1.5531082153320312,bull
1.0,0.0,1.57395601272583,bull
1.0,0.0,1.5966577529907227,bull
1.0,0.0,1.6024627685546875,bull
1.0,0.0,1.6241474151611328,bull
1.0,0.0,1.526467204093933,bull
1.0,0.0,1.5456156730651855,bull
1.0,0.0,1.5152467489242554,bull
1.0,0.0,1.4994224309921265,bull
1.0,0.0,1.4820897579193115,bull
1.0,0.0,1.2919845581054688,bull
1.0,0.0,1.293993353843689,bull
1.0,0.0,1.4364523887634277,bull
1.0,0.0,1.4217480421066284,bull
1.0,0.0,1.3062009811401367,bull
1.0,0.0,1.315476655960083,bull
1.0,0.0,1.3426623344421387,bull
1.0,0.0,1.3142309188842773,bull
1.0,0.0,1.2623493671417236,bull
1.0,0.0,1.003846287727356,bull
1.0,0.0,1.005800724029541,bull
1.0,0.0,0.990531325340271,bull
1.0,0.0,0.9773220419883728,bull
1.0,0.0,0.9365970492362976,bull
1.0,0.0,0.9716557264328003,bull
1.0,0.0,0.9519193768501282,bull
1.0,0.0,1.0295766592025757,bull
1.0,0.0,0.9706357717514038,bull
1.0,0.0,1.007623553276062,bull
1.0,0.0,1.1238603591918945,bull
1.0,0.0,1.1775466203689575,bull
1.0,0.0,1.2143713235855103,bull
1.0,0.0,1.1226369142532349,bull
1.0,0.0,1.1279418468475342,bull
1.0,0.0,1.1377862691879272,bull
1.0,0.0,1.0362012386322021,bull
1.0,0.0,0.9977919459342957,bull
1.0,0.0,1.0365992784500122,bull
1.0,0.0,1.0235710144042969,bull
1.0,0.0,1.0226774215698242,bull
1.0,0.0,0.9992918372154236,bull
1.0,0.0,0.9556910991668701,bull
1.0,0.0,0.9874157309532166,bull
1.0,0.0,0.9777788519859314,bull
1.0,0.0,0.9557928442955017,bull
1.0,0.0,0.8917005062103271,bull
1.0,0.0,0.9630035758018494,bull
1.0,0.0,1.0019443035125732,bull
1.0,0.0,0.958750307559967,bull
1.0,0.0,0.9456111788749695,bull
1.0,0.0,0.8199149966239929,bull
1.0,0.0,0.8234714865684509,bull
1.0,0.0,0.8350040316581726,bull
1.0,0.0,0.8323262333869934,bull
1.0,0.0,0.8036177754402161,bull
1.0,0.0,0.793621838092804,bull
1.0,0.0,0.737758994102478,bull
1.0,0.0,0.7002063393592834,bull
1.0,0.0,0.6044337749481201,bull
1.0,0.0,0.6241101622581482,bull
1.0,0.0,0.6542484164237976,bull
1.0,0.0,0.7499797344207764,bull
1.0,0.0,0.6871203184127808,bull
1.0,0.0,0.7026508450508118,bull
1.0,0.0,0.7215474843978882,bull
1.0,0.0,0.6415989995002747,bull
1.0,0.0,0.6614387631416321,bull
1.0,0.0,0.6029655933380127,bull
1.0,0.0,0.5788467526435852,bull
1.0,0.0,0.536138117313385,bull
1.0,0.0,0.5488351583480835,bull
1.0,0.0,0.6083596348762512,bull
1.0,0.0,0.7339820265769958,bull
1.0,0.0,0.7448602318763733,bull
1.0,0.0,0.4780774414539337,sideways
1.0,0.0,0.2654658555984497,sideways
1.0,0.0,0.2545495629310608,sideways
1.0,0.0,0.16715161502361298,sideways
1.0,0.0,0.04915524274110794,sideways
1.0,0.0,-0.141678586602211,sideways
