variant,path_id,test_groups,train_n,test_n,best_sharpe,best_return_pct,best_mdd_pct,best_n_trades,best_n_cycles,wallclock_sec
sym,0,"[0, 1]",35891,18028,1.0594173552172472,9.231840188352177,5.250120200972897,165,72,422.9
sym,1,"[0, 2]",35555,18028,0.6900394945499249,4.781911612473706,4.572723774163052,162,75,266.0
sym,2,"[0, 3]",35555,18028,2.0505569765584517,12.067576169487166,3.960491565306205,141,65,419.8
sym,3,"[0, 4]",35555,18028,1.1085042011923494,9.938440583749681,3.9989731907416455,154,70,445.6
sym,4,"[0, 5]",35720,18031,2.0079970572146393,13.224669922013968,3.1819674670475897,150,67,413.2
sym,5,"[1, 2]",35723,18028,0.579423070027158,1.4988914497758965,3.484905273165171,149,69,292.5
sym,6,"[1, 3]",35387,18028,1.555684554101808,5.923610988510473,3.871136059430012,165,76,224.5
sym,7,"[1, 4]",35387,18028,0.9305596162038905,2.5888268436599864,4.5239213578284545,108,45,412.9
sym,8,"[1, 5]",35552,18031,0.738570593908369,1.854004735598607,3.6542901625358946,178,80,396.8
sym,9,"[2, 3]",35723,18028,1.929298885084804,6.518055814479053,3.000796431715262,145,69,223.6
sym,10,"[2, 4]",35387,18028,1.263070985686356,3.2361662957264725,3.4761272999737374,114,50,363.2
sym,11,"[2, 5]",35552,18031,1.200528235319206,2.922431446225713,2.8351640119112056,160,74,413.4
sym,12,"[3, 4]",35723,18028,1.6477662858095994,7.206317959002793,3.315170257769804,144,67,330.9
sym,13,"[3, 5]",35552,18031,1.5443666760126953,1.8005073129690508,8.302610544684168,145,68,217.5
sym,14,"[4, 5]",35888,18031,1.2240444224002514,2.481587059873474,2.5593592564084005,142,62,411.3
asym,0,"[0, 1]",35891,18028,0.750928488715955,6.363483000453117,5.186050019132409,164,73,228.4
asym,1,"[0, 2]",35555,18028,0.7246870901974217,4.775734197208094,4.4854183548399735,156,72,265.9
asym,2,"[0, 3]",35555,18028,1.7606532825524337,9.66053639803054,4.037955484639923,160,75,243.8
asym,3,"[0, 4]",35555,18028,0.7651502402548996,5.038084569464341,2.5805376454142115,98,46,411.1
asym,4,"[0, 5]",35720,18031,0.806961649097636,6.31601554021812,4.0276528175215605,174,80,224.0
asym,5,"[1, 2]",35723,18028,0.6654584419641824,1.49269269498306,1.9095028009827941,40,19,412.4
asym,6,"[1, 3]",35387,18028,1.6112017319980414,4.950411416899834,2.869034975344594,79,38,345.8
asym,7,"[1, 4]",35387,18028,0.7854417812029562,1.5530581859294101,2.0231847880569536,49,23,414.5
