source,variant,seed_or_path,test_sharpe,test_return_pct,test_mdd_pct,test_n_trades,test_n_cycles
exp032b,sym,42,0.013923491226619341,-1.0301911576131362,10.587216107334811,1270,558
exp032b,sym,43,-0.12677871398266258,-3.8597204458171275,11.522942389787836,1481,669
exp032b,sym,44,0.15548310991571995,2.540433129568709,8.184585413218644,1538,661
exp032b,sym,45,0.08193644525177078,0.7661578010097481,9.173557484015369,1106,505
exp032b,sym,46,0.15108773911160475,2.2017848504262583,5.915054239040013,1285,606
exp032b,sym,47,0.19598889482030607,3.376670468879195,6.569631096680598,1494,695
exp032b,sym,48,0.028476461601194422,-0.35769763348690864,7.237917521925332,1496,706
exp032b,sym,49,0.2341861736409711,4.350823009744498,8.167733679259735,1263,573
exp032b,sym,50,0.1706575974536722,2.8607801208793804,9.026179364732217,1275,575
exp032b,sym,51,-0.0027878830786523695,-1.0199244917958317,7.798796568814989,1477,696
exp032b,asym,42,-0.08242775421495693,-2.247043390069614,8.665306929928814,863,410
exp032b,asym,43,0.11156255833678448,1.3981862636793796,5.510150730358397,1395,661
exp032b,asym,44,0.09128817680772607,0.9019291585225186,4.541999566733614,575,275
exp032b,asym,45,0.408620193174561,6.630214355143771,4.544503412232096,674,320
exp032b,asym,46,0.48651196822295023,9.18160215906163,4.467112826623419,1169,557
exp032b,asym,47,0.15220320956165972,2.270542647339524,5.828147657823932,1388,652
exp032b,asym,48,0.15284025762992282,2.2465045510255965,6.445446632475764,1353,639
exp032b,asym,49,-0.040943029675457286,-1.8454022788609081,6.305393955623267,1311,615
exp032b,asym,50,0.4232707965749962,7.154667660241754,5.757622865295212,655,310
exp032b,asym,51,0.030506123445855803,-0.4029746669016676,7.124751413255506,1536,721
exp032b,dsr,42,0.2000974425882956,3.204907000923418,5.65498489681337,1419,657
exp032b,dsr,43,-0.18345863467739007,-5.156365562729803,12.1668956217752,1611,737
exp032b,dsr,44,-0.4675613630389183,-17.196422651464072,26.141886482656236,1399,521
exp032b,dsr,45,-0.26744924956731736,-9.895526668470989,17.520663945509053,1359,554
exp032b,dsr,46,-0.017976283715564305,-2.2134270067180606,10.432954814696348,988,400
exp032b,dsr,47,-0.047471303514816265,-3.803604005938954,21.67239608665527,970,376
exp032b,dsr,48,-0.2822158762671171,-8.333876141375661,16.10260809507912,949,411
exp032b,dsr,49,0.08411123396919241,0.7703710644714423,7.45125651477665,1471,677
exp032b,dsr,50,-0.07056394201543206,-2.791779793246607,8.095809158110988,1715,790
exp032b,dsr,51,-0.16922230822388623,-4.6994051524990255,9.232451206345555,1563,707
exp032b,pt,42,0.24981235824021442,3.879187251628591,6.677904884273856,843,408
exp032b,pt,43,0.7416741594763415,13.627856633586543,3.659870361515505,783,369
exp032b,pt,44,0.034411508693158815,-0.28707016885899383,7.426702313466738,1677,794
exp032b,pt,45,0.32034561957590496,4.916037608842383,5.17967390343478,626,297
exp032b,pt,46,0.4435720958838423,7.252566181783693,3.3743528852392477,795,381
exp032b,pt,47,0.12608572986424546,1.700604952314122,6.776931791166913,1336,628
exp032b,pt,48,0.22839915447636178,3.3273068989994936,4.5352460018465255,694,330
exp032b,pt,49,0.060830209944634964,0.32663267649120087,6.03729652559346,1279,602
exp032b,pt,50,0.5935538208497313,10.615296821710029,4.553518897173099,710,337
exp032b,pt,51,0.8680668998459388,15.665787808399156,3.6601164888970215,670,315
exp034,sym,p00,0.018520826445534915,-0.718478001896039,6.351159099719686,1421,647
exp034,sym,p01,0.03555880802341462,-0.16279725222735353,6.857797148276955,1510,717
exp034,sym,p02,0.04647800843831393,0.009425089375758589,8.25808804386407,1241,568
exp034,sym,p03,-0.1273851805396962,-3.809002595587385,10.490558769450047,1408,642
exp034,sym,p04,0.38744287758699053,8.312577159069523,8.223402945544812,1326,589
exp034,sym,p05,0.3535555143506017,6.201271142643772,4.331171703373318,1380,651
exp034,sym,p06,0.12715021733717172,1.7663314058183,6.379211670696547,1601,743
exp034,sym,p07,0.019528331429406923,-0.7449139782092051,10.055291384854941,959,389
exp034,sym,p08,-0.2646209167944784,-7.018455070493879,13.588220307347138,1675,760
exp034,sym,p09,-0.08453777766041227,-2.821115477684688,7.818971729818282,1496,700
exp034,sym,p10,0.04191306362529496,-0.2060353453597008,9.510648656647502,1128,476
exp034,sym,p11,-0.28275939941872513,-7.58159489319249,15.414050237267585,1533,696
exp034,sym,p12,0.06039124193448876,0.257290900664775,7.262826020723753,1681,770
exp034,sym,p13,-0.188814453801701,-5.0914991983064155,9.425861295755151,1658,761
exp034,sym,p14,-0.13184684245263537,-4.702048616142296,14.520606472918448,1559,654
exp034,asym,p00,0.16030565114328357,2.431632188063526,7.325586553669752,1413,657
exp034,asym,p01,-0.02258156766872825,-1.3069864050020086,6.983849561932355,1421,675
exp034,asym,p02,0.05313173363910431,0.1392987596840367,7.3189403843462575,1534,724
exp034,asym,p03,0.5844507437430654,9.924523535774089,3.374504460895362,734,352
exp034,asym,p04,-0.12872107455955414,-3.861805406459806,8.221957192420478,1584,746
exp034,asym,p05,0.2696651013589019,3.183686364055127,2.9117778067005418,229,112
exp034,asym,p06,0.4947731083017089,8.092815866277281,4.571159192079198,744,352
exp034,asym,p07,0.6932720622358834,10.252230564877006,3.3764783924955055,333,157
exp034,asym,p08,0.042028777705200845,-0.009485701442302208,6.415549550527613,1162,549
exp034,asym,p09,0.21793802147284097,3.5363285206332584,6.185753331763679,1382,645
exp034,asym,p10,0.1670192313821273,2.565096027305014,6.062437549936475,1430,672
exp034,asym,p11,0.00037924317543113997,-1.0487522131416682,7.213077406355242,1581,739
exp034,asym,p12,-0.004078106295656159,-1.0198053526907835,6.3206679929906,1633,771
exp034,asym,p13,-0.14346721426198425,-4.139513249497762,9.159756552705323,1666,768
