source,variant,n,mean,std,iqm,cvar_5,min,max,t_stat,p_t
exp032b,sym,10,0.09021733159605434,0.11144935457011454,0.10026080742676353,-0.1267787139826625,-0.1267787139826625,0.2341861736409711,2.5598376353693792,0.015347651403867624
exp032b,asym,10,0.1733432499864042,0.19973612828521903,0.15783675315941828,-0.0824277542149569,-0.0824277542149569,0.4865119682229502,2.7444183066882544,0.011341500779972424
exp032b,dsr,10,-0.12217102844629535,0.19364739318805943,-0.12602362028573433,-0.4675613630389183,-0.4675613630389183,0.2000974425882956,-1.9950628181207946,0.9614177471832767
exp032b,pt,10,0.3666751556850374,0.2879336589666068,0.3269614631483833,0.0344115086931588,0.0344115086931588,0.8680668998459388,4.027068796066087,0.0014930575313285566
exp034,sym,15,0.0007049545669046401,0.1940565532047937,-0.01348661341736553,-0.2827593994187251,-0.2827593994187251,0.3874428775869905,0.014069492899697078,0.49448653711479773
exp034,asym,15,0.17489229407119564,0.25093065020852945,0.12729537258639376,-0.1434672142619842,-0.1434672142619842,0.6932720622358834,2.6993710882064526,0.008638958188810664
exp034,dsr,15,0.07029319479969423,0.25343334459569805,0.09215850590603376,-0.4282300784471582,-0.4282300784471582,0.4147913252057429,1.0742247561986793,0.15044423841668397
exp034,pt,15,0.3389117680699837,0.3084153390361779,0.3085056498424794,-0.0465269826296757,-0.0465269826296757,1.0381651102978395,4.255947961832035,0.00039943835647937576
