metric,col,val_mean,test_mean,val_std,test_std,ks_stat,ks_p,wasserstein
ATR ratio,volatility_raw,0.009607804614846458,0.006992311813949315,0.005122343168519326,0.002283641938131478,0.3271525817865284,0.0,0.0026792578736879883
hourly log return,log_return,1.4451945551437156e-05,2.8569992754932084e-05,0.0071144765308342175,0.005213291485475091,0.04150197053649135,1.6261172245473425e-17,0.0009699058464698036
