number,value,datetime_start,datetime_complete,duration,params_A_b,params_A_s,params_B_b,params_B_s,params_C_b,params_C_s,params_D_b,params_D_s,state
27,16.710848350776047,2026-04-20 11:28:14.307040,2026-04-20 11:34:10.429290,0 days 00:05:56.122250,0.11015948553598964,0.6843398929221673,0.9372915796923356,3.53691572256582,2.125789952287839,5.093622030298775,14.113431659624304,22.799897228232222,COMPLETE
28,26.189324974768176,2026-04-20 11:34:10.576428,2026-04-20 11:40:03.055484,0 days 00:05:52.479056,0.4264935885246268,0.2666217693356812,1.746883999837758,2.563231826432277,3.775426219953985,6.907661175951371,16.889236859515535,2.5825576914147597,COMPLETE
29,36.24640877496161,2026-04-20 11:40:03.192023,2026-04-20 11:45:56.240613,0 days 00:05:53.048590,0.4396162454283837,0.12085869519885695,1.720357267736727,2.2698709803858765,5.682686102692842,6.962269513747078,17.33397087692206,3.3183838056505905,COMPLETE
30,40.40367559615645,2026-04-20 11:45:56.368469,2026-04-20 11:51:47.833703,0 days 00:05:51.465234,0.36215330248350797,0.10214088157887138,1.1575349636527275,1.7317515826469048,5.351061521287297,6.606439913900069,17.326671317997537,2.1989528739943855,COMPLETE
31,35.31161356795397,2026-04-20 11:51:47.967928,2026-04-20 11:57:39.373225,0 days 00:05:51.405297,0.37345312683490123,0.11427417284031732,1.2158610869309332,1.5011858944310474,5.2067624832368224,6.971211607430634,17.669387721831203,2.3041716342251104,COMPLETE
32,35.66616501910159,2026-04-20 11:57:39.507645,2026-04-20 12:03:30.753580,0 days 00:05:51.245935,0.4126850802927486,0.10561808520869488,1.2756134103654584,1.585409096219395,5.3700716005881715,7.008946574223248,16.399793282573718,2.2027661731246306,COMPLETE
33,40.286329037178966,2026-04-20 12:03:30.892687,2026-04-20 12:09:32.631605,0 days 00:06:01.738918,0.26549727248681765,0.11891124353498711,1.0934951013966787,1.6663552121603766,5.490859766588005,6.966609236255591,22.087683852565547,2.3889836053749005,COMPLETE
34,16.861439175077358,2026-04-20 12:09:32.770105,2026-04-20 12:15:47.711887,0 days 00:06:14.941782,0.22131652941970056,0.6708322525650448,2.387651095806956,1.781393486554729,5.515671131933822,8.334879678020659,22.27492788345467,4.065045285397381,COMPLETE
35,5.478848809113319,2026-04-20 12:15:47.858618,2026-04-20 12:19:47.777461,0 days 00:03:59.918843,0.8555345386495353,2.194654264097921,1.0830105072409755,1.0705812793347242,7.60205468363522,7.609882660151999,24.949371501091075,7.375912029548981,COMPLETE
36,21.959263670059862,2026-04-20 12:19:47.925151,2026-04-20 12:26:03.749424,0 days 00:06:15.824273,1.0821672538245926,0.11778144197136695,2.483783255732032,1.7861495365401723,5.443659613663052,8.854611235109314,22.329009969241984,8.528080998529857,COMPLETE
37,15.669082151528011,2026-04-20 12:26:03.908643,2026-04-20 12:32:25.992322,0 days 00:06:22.083679,0.25346550043607796,0.6847256064638808,3.734139506412949,1.0775059055266043,4.0894065138390525,6.6993743883650705,19.57974536359366,3.932296504612854,COMPLETE
38,4.492606203581662,2026-04-20 12:32:26.141308,2026-04-20 12:36:34.331208,0 days 00:04:08.189900,0.48760597790868543,2.8337642255249005,1.363727068998625,1.5910019257065486,7.161481978096072,8.01577336826695,23.404588728791577,5.145362741068851,COMPLETE
