variant,n_paths,sr_mean,sr_std,iqm,cvar_5,sr_min,sr_max,t_stat,p_t,sr_star,dsr_z,dsr_p
sym,15,1.3019885606191168,0.47517927605878335,1.2815491479937113,0.579423070027158,0.579423070027158,2.050556976558452,10.611952722463847,2.2271938848739126e-08,0.2042935184819303,14.955165415224636,0.0
asym,15,1.043330704381769,0.47422065408747766,0.9534600554826925,0.503109691027696,0.503109691027696,1.9230738686490765,8.520933046311505,3.2608563482749986e-07,0.2038813787585054,209448.8774982918,0.0
dsr,15,1.412917675353882,0.3776758896071384,1.433417394182583,0.8901187333505846,0.8901187333505846,1.897293461115332,14.489160618380797,4.0211822760483074e-10,0.1623739506772819,17.319795757245274,0.0
pt,15,1.092538681548013,0.5103624189115853,1.0098741657227668,0.5028376835586202,0.5028376835586202,2.0433456030729955,8.290939853578646,4.5067866993875327e-07,0.21941978430788803,202422.46939813922,0.0
