,sym,asym,dsr,pt
sym,0.0,0.20919728497876436,0.12332178379671858,0.32551847236657266
asym,0.20919728497876436,0.0,0.25600749349166513,0.13441174142810572
dsr,0.12332178379671858,0.25600749349166513,0.0,0.35276423670131674
pt,0.32551847236657266,0.13441174142810572,0.35276423670131674,0.0
