buy_hi_coef,buy_lo_extra,sell_m_coef,sell_c_coef,trend_1w,regime
0.3888833820819855,0.0,0.0,0.1728043556213379,-0.46970394253730774,sideways
0.35810622572898865,0.0,0.0,0.16200518608093262,-0.30054906010627747,sideways
0.37436291575431824,0.0,0.0,0.16515615582466125,-0.49548575282096863,sideways
0.37050366401672363,0.0,0.0,0.1681661307811737,-0.47578534483909607,sideways
0.35860493779182434,0.0,0.0,0.17102649807929993,-0.37148311734199524,sideways
0.3642865717411041,0.0,0.0,0.16900748014450073,-0.45653027296066284,sideways
0.35430631041526794,0.0,0.0,0.16977456212043762,-0.3337990343570709,sideways
0.3698367476463318,0.0,0.0,0.16635841131210327,-0.32937851548194885,sideways
0.3633138835430145,0.0,0.0,0.16693398356437683,-0.2647135853767395,sideways
0.37488117814064026,0.0,0.0,0.17045632004737854,-0.30916309356689453,sideways
0.37136638164520264,0.0,0.0,0.19645047187805176,-0.41155630350112915,sideways
0.23512037098407745,0.0,0.0,0.17509996891021729,0.2593331038951874,sideways
0.25281333923339844,0.0,0.0,0.1874839961528778,0.4621036648750305,sideways
0.29211723804473877,0.0,0.0,0.1956646740436554,0.40259110927581787,sideways
0.37914764881134033,0.0,0.0,0.18680906295776367,-0.3639296293258667,sideways
0.389763206243515,0.0,0.0,0.17428302764892578,-0.5466977953910828,bear
0.2785663902759552,0.0,0.0,0.17620453238487244,0.25762930512428284,sideways
0.26375511288642883,0.0,0.0,0.1825672686100006,0.14869967103004456,sideways
0.26637622714042664,0.0,0.0,0.1744878590106964,0.20805615186691284,sideways
0.2397022843360901,0.02806861698627472,0.0,0.21320155262947083,0.5126335620880127,bull
0.24188277125358582,0.0550781786441803,0.0,0.22441628575325012,1.425924301147461,bull
0.25629785656929016,0.0,0.0,0.19833382964134216,0.9372394680976868,bull
0.23602433502674103,0.019895188510417938,0.0,0.21797782182693481,1.088697075843811,bull
0.21922121942043304,0.0,0.0,0.2168395221233368,0.9637134075164795,bull
0.19123366475105286,0.026733659207820892,0.0,0.2533421814441681,1.4564231634140015,bull
0.20278778672218323,0.028279073536396027,0.0,0.25421902537345886,1.6889395713806152,bull
0.24570384621620178,0.054250456392765045,0.0,0.24788233637809753,1.9744248390197754,bull
0.27149125933647156,0.054255761206150055,0.0,0.24233439564704895,2.1114768981933594,bull
0.2702380120754242,0.05005569010972977,0.0,0.2441018521785736,2.1712684631347656,bull
0.27461087703704834,0.029901549220085144,0.0,0.23039382696151733,1.7937872409820557,bull
0.29643791913986206,0.023348309099674225,0.0,0.21568340063095093,1.8831448554992676,bull
0.3130744397640228,0.0019385926425457,0.0,0.21610736846923828,1.2152353525161743,bull
0.32040929794311523,0.0,0.0,0.20974257588386536,1.2120383977890015,bull
0.2559596300125122,0.034299708902835846,0.0,0.2556331157684326,1.7348132133483887,bull
0.2529206871986389,0.00036277808248996735,0.0,0.25742754340171814,1.2909101247787476,bull
0.2796599566936493,0.0,0.0,0.20437005162239075,1.2235534191131592,bull
0.31118494272232056,0.0,0.0,0.2256617248058319,0.5324180722236633,bull
0.35165339708328247,0.0,0.0,0.21344226598739624,0.41458383202552795,sideways
0.3873554766178131,0.0,0.0,0.25506269931793213,-0.28456148505210876,sideways
